PING 192.168.40.2 (192.168.40.2) 56(84) bytes of data.
64 bytes from 192.168.40.2: icmp_seq=1 ttl=63 time=0.036 ms
64 bytes from 192.168.40.2: icmp_seq=2 ttl=63 time=99.6 ms
64 bytes from 192.168.40.2: icmp_seq=3 ttl=63 time=105 ms
64 bytes from 192.168.40.2: icmp_seq=4 ttl=63 time=124 ms
64 bytes from 192.168.40.2: icmp_seq=5 ttl=63 time=166 ms
64 bytes from 192.168.40.2: icmp_seq=6 ttl=63 time=160 ms
64 bytes from 192.168.40.2: icmp_seq=7 ttl=63 time=178 ms
64 bytes from 192.168.40.2: icmp_seq=8 ttl=63 time=205 ms
64 bytes from 192.168.40.2: icmp_seq=9 ttl=63 time=194 ms
64 bytes from 192.168.40.2: icmp_seq=10 ttl=63 time=175 ms
64 bytes from 192.168.40.2: icmp_seq=11 ttl=63 time=192 ms
64 bytes from 192.168.40.2: icmp_seq=12 ttl=63 time=210 ms
64 bytes from 192.168.40.2: icmp_seq=13 ttl=63 time=204 ms
64 bytes from 192.168.40.2: icmp_seq=14 ttl=63 time=198 ms
64 bytes from 192.168.40.2: icmp_seq=15 ttl=63 time=216 ms
