PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=0.034 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=91.5 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=133 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=137 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=167 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=147 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=177 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=202 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=188 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=192 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=185 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=214 ms
64 bytes from 192.168.30.2: icmp_seq=13 ttl=63 time=182 ms
64 bytes from 192.168.30.2: icmp_seq=14 ttl=63 time=200 ms
64 bytes from 192.168.30.2: icmp_seq=15 ttl=63 time=217 ms
