PING 192.168.70.2 (192.168.70.2) 56(84) bytes of data.
64 bytes from 192.168.70.2: icmp_seq=1 ttl=63 time=169 ms
64 bytes from 192.168.70.2: icmp_seq=2 ttl=63 time=105 ms
64 bytes from 192.168.70.2: icmp_seq=3 ttl=63 time=139 ms
64 bytes from 192.168.70.2: icmp_seq=4 ttl=63 time=137 ms
64 bytes from 192.168.70.2: icmp_seq=5 ttl=63 time=165 ms
64 bytes from 192.168.70.2: icmp_seq=6 ttl=63 time=149 ms
64 bytes from 192.168.70.2: icmp_seq=7 ttl=63 time=179 ms
64 bytes from 192.168.70.2: icmp_seq=8 ttl=63 time=177 ms
64 bytes from 192.168.70.2: icmp_seq=9 ttl=63 time=190 ms
64 bytes from 192.168.70.2: icmp_seq=10 ttl=63 time=182 ms
64 bytes from 192.168.70.2: icmp_seq=11 ttl=63 time=209 ms
64 bytes from 192.168.70.2: icmp_seq=12 ttl=63 time=211 ms
64 bytes from 192.168.70.2: icmp_seq=13 ttl=63 time=205 ms
64 bytes from 192.168.70.2: icmp_seq=14 ttl=63 time=210 ms
64 bytes from 192.168.70.2: icmp_seq=15 ttl=63 time=214 ms
64 bytes from 192.168.70.2: icmp_seq=16 ttl=63 time=196 ms
64 bytes from 192.168.70.2: icmp_seq=17 ttl=63 time=212 ms
64 bytes from 192.168.70.2: icmp_seq=18 ttl=63 time=196 ms
64 bytes from 192.168.70.2: icmp_seq=19 ttl=63 time=200 ms
64 bytes from 192.168.70.2: icmp_seq=20 ttl=63 time=206 ms
64 bytes from 192.168.70.2: icmp_seq=21 ttl=63 time=221 ms
