PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.040 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=700 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=1702 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=1818 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=1716 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=1843 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1801 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1879 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1801 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=1820 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=1984 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=985 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=1827 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=2918 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=3542 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=2526 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=1527 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=549 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=155 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=148 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=133 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=101 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=190 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=184 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=141 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=170 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=139 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=132 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=136 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=171 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=164 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=133 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=144 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=143 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=160 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=141 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=91.7 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=168 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=150 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=143 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=136 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=130 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=153 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=74.1 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=187 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=193 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=132 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=149 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=143 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=136 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60106ms
rtt min/avg/max/mdev = 0.040/609.104/3542.089/839.566 ms, pipe 4
